None,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期,统计首次拨打日期
修改首次拨打日期,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
推广员,,,,,,,,,,,,,,,,,,,,,,,,,,,
cookie,0,2,1,1,1,2,2,2,1,0,0,1,1,1,0,0,1,2,1,2,1,0,1,1,2,0,0
jerry,0,1,1,2,2,4,0,3,2,2,1,2,3,1,1,2,2,5,1,3,2,3,2,3,2,2,1
lemon,2,0,0,0,0,3,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,0
phoebe,1,0,0,2,1,3,3,1,1,5,1,2,2,2,2,1,2,1,3,1,1,1,1,3,1,1,1
star,1,1,3,2,1,3,3,2,1,2,3,2,1,3,1,2,2,3,2,2,2,2,1,2,1,1,1
taylor,0,0,1,4,1,2,2,3,2,2,1,1,1,2,3,2,2,2,2,2,1,1,2,3,1,1,2
vincent,1,1,2,2,2,2,1,1,2,1,1,2,1,0,1,2,1,1,1,1,2,2,2,3,1,1,1
yuria,0,1,1,0,0,2,1,1,1,0,0,0,1,0,2,1,1,0,2,1,0,0,0,0,0,0,0
